"st_dis_perf","first_name","last_name","party","grants","amount_awarded","total_outlays","not_disbursed"
"AK00","Nicholas","Begich","R",12,152159907,270364.58,151889542.42
"NC04","Valerie","Foushee","D",4,130103648,3044881.54,127058766.46
"MN08","Pete","Stauber","R",7,90499268,1342119.06,89157148.94
"TX18",,"Office of the 18th Congressional District of Texas",,5,80549998,170806.76,80379191.24
"MA02","James","McGovern","D",6,81589241,1309681.03,80279559.97
"WA08","Kim","Schrier","D",8,68635044,596241.64,68038802.36
"VT00","Becca","Balint","D",5,69876765,2385496.61,67491268.39
"PR00","Pablo","Hernández","D",9,63240052,478436.99,62761615.01
"MI04","Bill","Huizenga","R",6,62403226,42283,62360943
"CA26","Julia","Brownley","D",2,60000000,992798.58,59007201.42
"CO05","Jeff","Crank","R",2,60000000,1539340.2,58460659.8
"DC00","Eleanor","Norton","D",6,55554032,147269.64,55406762.36
"NJ02","Jefferson","Van Drew","R",2,55000000,3994.88,54996005.12
"MD01","Andy","Harris","R",2,53000000,58762.52,52941237.48
"OR02","Cliff","Bentz","R",6,54182875,1823929.22,52358945.78
"LA06","Cleo","Fields","D",6,43444575,391982.59,43052592.41
"CA22","David","Valadao","R",6,43272423,1350187.88,41922235.12
"NC08","Mark","Harris","R",2,28999967,0,28999967
"VA05","John","McGuire","R",5,28997117,36602.71,28960514.29
"CA51","Sara","Jacobs","D",3,28599999,74954.35,28525044.65
"VI00","Stacey","Plaskett","D",3,28200000,839000.77,27360999.23
"CT03","Rosa","DeLauro","D",5,27574965,362875.74,27212089.26
"NM03","Teresa","Leger Fernandez","D",7,26021423,115758.1,25905664.9
"WI03","Derrick","Van Orden","R",2,24938494,35841.99,24902652.01
"CA32","Brad","Sherman","D",3,23500000,148739.27,23351260.73
"NJ10","LaMonica","McIver","D",6,23146494,57402.68,23089091.32
"CA30","Laura","Friedman","D",4,23152614,502871.95,22649742.05
"CO01","Diana","DeGette","D",5,22152601,81595.29,22071005.71
"MT01","Ryan","Zinke","R",3,21904330,33458.3,21870871.7
"WA05","Michael","Baumgartner","R",3,21270824,77818.68,21193005.32
"RI02","Seth","Magaziner","D",5,21655151,469160.89,21185990.11
"TN09","Steve","Cohen","D",2,20996791,0,20996791
"CA15","Kevin","Mullin","D",3,20965495,70189.84,20895305.16
"NV02","Mark","Amodei","R",3,20829495,55701.19,20773793.81
"OR04","Val","Hoyle","D",2,20553008,35549.93,20517458.07
"WA04","Dan","Newhouse","R",3,20626567,150933.59,20475633.41
"PA03","Dwight","Evans","D",2,20497822,82915.05,20414906.95
"OH11","Shontel","Brown","D",2,20810277,396856.68,20413420.32
"VA03","Robert","Scott","D",2,20206400,0,20206400
"NY26","Timothy","Kennedy","D",1,20152214,0,20152214
"CA18","Zoe","Lofgren","D",1,20000000,0,20000000
"IN08","Mark","Messmer","R",1,20000000,0,20000000
"CA24","Salud","Carbajal","D",1,19993324,0,19993324
"OR06","Andrea","Salinas","D",1,20030841,37871.32,19992969.68
"TN03","Charles","Fleischmann","R",1,19960040,0,19960040
"GA07","Richard","McCormick","R",1,19953400,16105.61,19937294.39
"AZ06","Juan","Ciscomani","R",1,19997193,86535.55,19910657.45
"MS03","Michael","Guest","R",1,19889515,0,19889515
"SD00","Dusty","Johnson","R",2,20449725,575516,19874209
"NY20","Paul","Tonko","D",1,20000000,130687,19869313
"GA02","Sanford","Bishop","D",1,19805900,0,19805900
